# Решения человека по связям между словарями.
#
# Колонки — ровно первые шесть колонок `conflicts.tsv`: строку из отчёта
# копируют сюда как есть и дописывают решение. Порядок сторон не важен.
#
#   ok      связь верна, расхождение настоящее — обе книги правы.
#           Больше не показывается в conflicts.tsv, в базе reviewed=1.
#   unlink  это разные слова — связь не создавать.
#   link    связать вручную то, чего лесенка не нашла.
#
# Строка, которая ни на что не легла (статью переименовали или её больше нет
# в источнике), печатается при сборке отдельным списком — файл не гниёт молча.
#
# ЧЕРНОВИК: решения проставлены по РУССКИМ переводам обеих сторон.
# Две строки помечены РЕШИТЬ — там перевода не хватило, нужен ваш глаз.
# В квадратных скобках оставлены переводы, чтобы было видно, на чём основано.
#
a_dict	a_slug	b_dict	b_slug	decision	note
math1997_ce	некъ	comp2017_ce	некъ	ok	одно слово, класс расходится [путь | путь; ме́тод]
maciev1961	пиллиг	comp2017_ce	пиллиг	ok	одно слово, класс расходится [пропе́ллер; кла́виш; кла́виша | кла́виша]
maciev1961	протокол	comp2017_ce	протокол	ok	одно слово, класс расходится [протоко́л | протоко́л]
maciev1961	пха-3	math1997_ce	пха	unlink	«граб, чинара» ≠ «хорда»; проверить другие пха [граб; чина́ра | хорда]
maciev1961	са-1	math1997_ce	са	unlink	«зрение, свет» ≠ «угол» [зре́ние; свет | угол]
maciev1961	са-2	math1997_ce	са	unlink	«душа» ≠ «угол» [душа́; дух; душа́ | угол]
maciev1961	са̃	math1997_ce	са	unlink	«выгода, польза» ≠ «угол» [вы́года; по́льза; при́быль | угол]
maciev1961	тайпа	math1997_ce	тайпа	ok	одно слово, класс расходится [пле́мя; сорт; вид | род; разряд; тип]
maciev1961	те̃ма	math1997_ce	тема	unlink	другое слово, и долгота разная [результа́т неполноце́нного де́йствия | тема]
maciev1961	триллион	math1997_ce	триллион	ok	одно слово, класс расходится [триллио́н | триллион]
maciev1961	тӀадам	math1997_ce	тӀадам	ok	одно слово, класс расходится [ка́пля; то́чка; очко́ | точка]
math1997_ce	тӀадам	comp2017_ce	тӀадам	ok	одно слово, класс расходится [точка | то́чка]
maciev1961	хьаьрк	math1997_ce	хьаьрк	ok	одно слово, класс расходится [диакрити́ческий знак в ара́бском письме́; знак | знак; цифра]
maciev1961	хьаьрк	comp2017_ce	хьаьрк	ok	одно слово, класс расходится [диакрити́ческий знак в ара́бском письме́; знак | знак; ци́фра]
maciev1961	xӀост	comp2017_ce	хӀост	ok	одно слово, класс расходится [ме́тка; тавро́; клеймо́ | ярлы́к]
maciev1961	хӀума-2	math1997_ce	хӀума	unlink	«событие, явление» ≠ «тело»; проверить хӀума-1 [собы́тие; явле́ние | тело]
maciev1961	цаца	math1997_ce	цаца	ok	одно слово, класс расходится [си́то; решето́; ве́ялка | решетка]
maciev1961	цифра	comp2017_ce	цифра	ok	одно слово, класс расходится [ци́фра | ци́фра]
math1997_ce	цифра	comp2017_ce	цифра	ok	одно слово, класс расходится [цифра | ци́фра]
maciev1961	цхьамза	math1997_ce	цхьамза	ok	у Мациева «цхьамза см. цамза», а «цамза» 2) стрелка — одно слово [ | стрелка]
maciev1961	шад-2	math1997_ce	шад	unlink	«хлыст, плеть» ≠ «узел»; проверить шад-1 [хлыст; плеть; кнут | узел]
math1997_ce	хьоста	comp2017_ce	хьоста	ok	одно слово, класс расходится [источник | исто́чник]
maciev1961	дист	math1997_ce	йист	ok	у Мациева «дист*» и «йист см. дист» — одно слово в разных классах [коне́ц; ко́нчик; бе́рег | предел; конец]
